session_id,driver,lap_number,corner,event_type,reason,timestamp,source
2023_Austrian_Grand_Prix_Race,VER,65,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 65 ,0 days 02:20:07.322000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,VER,66,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 02:21:15.923000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,GAS,6,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 6 ,0 days 01:10:43.930000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,GAS,7,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:11:55.022000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,GAS,22,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 22 ,0 days 01:30:26.715000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,GAS,25,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 25 ,0 days 01:33:58.193000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,GAS,26,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 26 ,0 days 01:35:08.855000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,GAS,27,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 27 ,0 days 01:36:19.504000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,GAS,28,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 28 ,0 days 01:37:30.174000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,GAS,29,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:38:41.362000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,PER,11,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 11 ,0 days 01:16:42.111000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,PER,17,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 17 ,0 days 01:24:21.830000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,PER,18,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:25:32.229000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,PER,61,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 61 ,0 days 02:16:06.506000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,ALO,4,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 4 ,0 days 01:08:19.505000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,ALO,5,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:09:30.564000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,LEC,5,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 5 ,0 days 01:09:26.677000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,LEC,8,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 5 ,0 days 01:12:57.826000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,LEC,32,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 5 ,0 days 01:41:46.789000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,STR,6,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 6 ,0 days 01:10:43.424000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,STR,10,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 10 ,0 days 01:15:27.432000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,STR,33,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 33 ,0 days 01:43:36.542000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,STR,34,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:44:47.587000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAR,15,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 15 ,0 days 01:22:21.096000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAR,54,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 54 ,0 days 02:08:51.228000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAR,55,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 02:10:01.565000,LAPS_TABLE
