violation_id,session_id,driver,lap_number,corner,start_time_sec,end_time_sec,duration_sec,speed_kph,peak_breach_m,telemetry_x,telemetry_y,sample_count,detection_source,confidence_score,fia_ground_truth,fia_official_reason
VIO-AUT23-HAM-L1-Turn1,2023_Austrian_Grand_Prix_Race,HAM,1,Turn 1,6.46,8.36,1.89,191.5,1.45,-372.94,-108.11,15,SPATIAL_SHAPELY,0.82,False,Unpenalized Excursion / Sub-Threshold
VIO-AUT23-HAM-L1-Turn3,2023_Austrian_Grand_Prix_Race,HAM,1,Turn 3,25.55,25.88,0.33,61.0,1.09,-950.95,658.9,2,SPATIAL_SHAPELY,0.79,False,Unpenalized Excursion / Sub-Threshold
VIO-AUT23-HAM-L1-Turn4,2023_Austrian_Grand_Prix_Race,HAM,1,Turn 4,40.8,44.18,3.39,151.0,5.74,-179.98,509.57,24,SPATIAL_SHAPELY,0.99,False,Unpenalized Excursion / Sub-Threshold
VIO-AUT23-HAM-L1-Turn6,2023_Austrian_Grand_Prix_Race,HAM,1,Turn 6,49.26,50.08,0.81,173.0,1.49,-571.28,460.44,8,SPATIAL_SHAPELY,0.82,False,Unpenalized Excursion / Sub-Threshold
VIO-AUT23-HAM-L1-Turn7,2023_Austrian_Grand_Prix_Race,HAM,1,Turn 7,57.24,58.8,1.55,216.0,6.68,-370.12,248.97,14,SPATIAL_SHAPELY,0.99,False,Unpenalized Excursion / Sub-Threshold
VIO-AUT23-HAM-L1-Turn9,2023_Austrian_Grand_Prix_Race,HAM,1,Turn 9,65.68,66.36,0.67,230.7,2.7,215.35,307.1,7,SPATIAL_SHAPELY,0.92,False,Unpenalized Excursion / Sub-Threshold
VIO-AUT23-HAM-L1-Turn10,2023_Austrian_Grand_Prix_Race,HAM,1,Turn 10,74.16,84.37,10.21,126.6,1.98,3.58,-6.58,78,SPATIAL_SHAPELY,0.86,False,Unpenalized Excursion / Sub-Threshold
VIO-AUT23-HAM-L2-Turn1,2023_Austrian_Grand_Prix_Race,HAM,2,Turn 1,5.07,11.06,6.0,138.7,1.41,-364.89,-105.92,47,SPATIAL_SHAPELY,0.81,False,Unpenalized Excursion / Sub-Threshold
VIO-AUT23-HAM-L2-Turn3,2023_Austrian_Grand_Prix_Race,HAM,2,Turn 3,32.1,34.19,2.09,122.0,5.2,-942.21,617.39,18,SPATIAL_SHAPELY,0.99,False,Unpenalized Excursion / Sub-Threshold
VIO-AUT23-HAM-L2-Turn4,2023_Austrian_Grand_Prix_Race,HAM,2,Turn 4,56.14,61.99,5.85,58.0,5.46,-172.05,520.15,46,SPATIAL_SHAPELY,0.99,False,Unpenalized Excursion / Sub-Threshold
